2020-07-20 00:58:35.626 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] ---Changed configuration
2020-07-20 00:58:35.629 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] File to log JDI Exceptions : null
2020-07-20 00:58:35.629 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Hide Rebel Stack Frames : true
2020-07-20 00:58:35.629 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Hide Rebel Threads : true
2020-07-20 00:58:35.629 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Hide Rebel Classes : true
2020-07-20 00:58:35.629 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Don't expose versioned types : true
2020-07-20 00:58:35.629 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Fix That : true
2020-07-20 00:58:35.629 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Can call Rebel runtime : true
2020-07-20 00:58:35.629 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Prevent stepping to Rebel code: true
2020-07-20 00:58:35.629 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Pump events: true
2020-07-20 00:58:35.630 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] IDE identificator: IntelliJ IDEA IU-201.6668.121 JRebel plugin: 2020.2.3
2020-07-20 00:58:35.631 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] IDE identificator as code: 0x400000000000000
2020-07-20 00:58:35.631 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] IDE type as code: 0x4
2020-07-20 00:58:35.631 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Wrapper proxy builder: com.zeroturnaround.jdi.proxy.DefaultFactoryBuilder@90be218
2020-07-20 00:58:35.631 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Logger factory : NOP
2020-07-20 00:58:35.631 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle fields : true
2020-07-20 00:58:35.632 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle methods : true
2020-07-20 00:58:35.632 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle stepping : true
2020-07-20 00:58:35.632 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle breakpoints : true
2020-07-20 00:58:35.632 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle reloading: true
2020-07-20 00:58:35.632 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle arrays: true
2020-07-20 00:58:35.632 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] ------------------------
2020-07-20 00:58:35.115 INFO  [AWT-EventQueue-0] Core - No jrebel.properties found from file system.
2020-07-20 00:58:35.171 INFO  [AWT-EventQueue-0] o.z.jrebel.client.logger.Log - Log level is now INFO
2020-07-20 00:58:35.171 INFO  [AWT-EventQueue-0] o.z.jrebel.client.logger.Log - Using log level INFO
2020-07-20 00:58:35.714 INFO  [AWT-EventQueue-0] Core - No jrebel.properties found from file system.
2020-07-20 00:58:35.738 INFO  [AWT-EventQueue-0] c.z.j.idea.plugin.logger.IdeaLog - Java version: 11.0.6
JRebel version used: 2020.2.3 (202006190909) griffin
IntelliJ IDEA IU-201.6668.121 JRebel plugin: 2020.2.3

2020-07-20 00:58:35.814 INFO  [AWT-EventQueue-0] o.z.j.c.licensing.JRebelLicensing - addActivationFinishedListener org.zeroturnaround.jrebel.client.licensing.JRebelLicensingImpl$2@9cd660
2020-07-20 00:58:35.814 INFO  [AWT-EventQueue-0] o.z.jrebel.client.licensing.Watcher - Watcher starting, isProbablyLicenseServer: true, self: org.zeroturnaround.jrebel.client.licensing.Watcher@3558df65
2020-07-20 00:58:35.815 INFO  [rebel-lwatch] Licensing - === Event: getCurrentLicense
2020-07-20 00:58:35.816 INFO  [AWT-EventQueue-0] o.z.common.util.RebelBaseUtils - log file: jrebel-intellij.log
2020-07-20 00:58:35.816 INFO  [AWT-EventQueue-0] o.z.common.util.RebelBaseUtils - log file: jrebel-licensing.log
2020-07-20 00:58:35.818 INFO  [rebel-lwatch] Licensing -  --> This licensing source didn't find valid licensing
2020-07-20 00:58:35.818 INFO  [rebel-lwatch] Licensing - Trying license file licensing ..
2020-07-20 00:58:35.818 INFO  [rebel-lwatch] Licensing - Attempting to load license file from: C:\Users\mxy\.jrebel\jrebel.lic
2020-07-20 00:58:35.818 INFO  [rebel-lwatch] Licensing - Attempting to load license file from: D:\IntelliJ IDEA 2020.1\jbr\bin\jrebel.lic
2020-07-20 00:58:35.818 INFO  [rebel-lwatch] Licensing -  --> This licensing source didn't find valid licensing
2020-07-20 00:58:35.818 WARN  [rebel-lwatch] Licensing - All licenses sources have failed!
2020-07-20 00:58:35.819 INFO  [rebel-lwatch] Licensing - Licensing exception: LicensingMessage{description='UNABLE TO INITIALIZE LICENSING - NO LICENSE FOUND', callToAction='', exceptionMessage='null', link='null'}
2020-07-20 00:58:35.846 INFO  [rebel-ide-scheduler-1] o.z.jrebel.ide.common.CommonStartup - Reloads done as per stats: 0
